Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Jungle no Ouja Taa-chan,7.01,"Action, Comedy, Parody",TV,50,"Oct 14, 1993 to Sep 29, 1994",Fall 1993,TV Tokyo,Unknown,Group TAC,Manga,24 min. per ep.,R+ - Mild Nudity,3616.0,9094,1805,14,130,486,123
Shigofumi,7.49,"Drama, Fantasy, Psychological, Supernatural, Thriller",TV,12,"Jan 6, 2008 to Mar 23, 2008",Winter 2008,"Bandai Visual, Genco, Lantis, Rakuonsha",Sentai Filmworks,J.C.Staff,Original,24 min. per ep.,R - 17+ (violence & profanity),1594.0,1703,77715,344,3055,34366,2376
Porphy no Nagai Tabi,6.99,"Drama, Historical, Kids, Slice of Life",TV,52,"Jan 6, 2008 to Dec 28, 2008",Winter 2008,Unknown,Unknown,Nippon Animation,Novel,24 min. per ep.,PG - Children,3660.0,8401,2402,5,111,467,144
Meiken Lassie,6.73,"Adventure, Slice of Life, Kids",TV,25,"Jan 14, 1996 to Aug 18, 1996",Winter 1996,Unknown,Unknown,Nippon Animation,Novel,25 min. per ep.,G - All Ages,4778.0,10269,1089,1,73,312,79
Chou Mashin Eiyuuden Wataru,6.91,"Action, Adventure, Comedy, Mecha",TV,51,"Oct 2, 1997 to Sep 24, 1998",Fall 1997,Unknown,Unknown,Sunrise,Unknown,24 min. per ep.,G - All Ages,3992.0,9875,1312,5,72,551,114
Go-Q-Choji Ikkiman,6.43,"Sci-Fi, Sports",TV,32,"Apr 13, 1986 to Nov 23, 1986",Spring 1986,Unknown,Unknown,Toei Animation,Manga,24 min. per ep.,G - All Ages,6284.0,11421,665,5,38,249,84
Hey! Bumboo,6.07,"Adventure, Cars, Kids",TV,130,"Apr 8, 1985 to Apr 3, 1986",Spring 1985,"NHK, Studio Jack",Saban Entertainment,Nippon Animation,Unknown,10 min. per ep.,PG - Children,7929.0,10234,1107,2,21,704,193
Joou Heika no Petite Angie,6.38,"Historical, Mystery, Shoujo",TV,26,"Dec 13, 1977 to Jun 27, 1978",Winter 1978,Unknown,Unknown,"Nippon Animation, Production Reed",Original,24 min. per ep.,PG-13 - Teens 13 or older,6520.0,10390,1029,5,42,358,102
Meme Iroiro Yume no Tabi,6.6,"Adventure, Kids, Sci-Fi",TV,127,"Apr 3, 1983 to Sep 29, 1985",Spring 1983,TBS,Unknown,Nippon Animation,Unknown,25 min. per ep.,PG - Children,5378.0,11737,583,1,28,262,95
Mister Ajikko,7.07,"Comedy, Shounen",TV,99,"Oct 8, 1987 to Sep 28, 1989",Fall 1987,TV Tokyo,Unknown,Sunrise,Unknown,24 min. per ep.,G - All Ages,3371.0,7290,3715,14,381,815,255
Moero! Top Striker,6.7,"Action, Shounen, Sports",TV,49,"Oct 10, 1991 to Sep 24, 1992",Fall 1991,Fuji TV,Unknown,Nippon Animation,Unknown,24 min. per ep.,G - All Ages,4905.0,7468,3460,13,100,2509,197
The☆Ultraman,6.37,"Action, Sci-Fi, Space, Super Power",TV,50,"Apr 4, 1979 to Mar 26, 1980",Spring 1979,Tsuburaya Productions,Unknown,Production Reed,Other,25 min. per ep.,PG-13 - Teens 13 or older,6535.0,8691,2100,7,118,695,188
Biohazard: Degeneration,7.05,"Action, Horror, Sci-Fi",Movie,1,"Oct 18, 2008",Unknown,"Sony Pictures Entertainment, Capcom",Unknown,Digital Frontier,Game,1 hr. 37 min.,R - 17+ (violence & profanity),3440.0,2987,29682,48,264,26512,95
Space Oz no Bouken,6.51,"Adventure, Sci-Fi",TV,26,"Oct 5, 1992 to Apr 4, 1993",Fall 1992,"E&G Films, TV Tokyo Music",Unknown,Unknown,Unknown,25 min. per ep.,PG - Children,12213.0,13113,336,0,22,119,50
